Hobby-name,Type,Likely Gender,Likely Age Groups
Slacklining,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Sledding,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Snorkeling,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Snowboarding,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Snowmobiling,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Snowshoeing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Soccer,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Stone skipping,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Storm chasing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Sun bathing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Surfing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Survivalism,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Swimming,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Table tennis playing,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Taekwondo,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Tai chi,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Tennis,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Thru-hiking,Outdoors and sports,Prefer not to say,"Young Adult (19-30), Adult (31-50), Senior (51-80)"
Topiary,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Tourism,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Trade fair visiting,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Travel,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Unicycling,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Urban exploration,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Vacation,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Vegetable farming,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Vehicle restoration,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Videography,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Volleyball,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Volunteering,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Walking,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Water sports,Outdoors and sports,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Zoo visiting,Outdoors and sports,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Archaeology,Educational hobby,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Architecture,Educational hobby,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Astronomy,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Animation,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Aerospace,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Biology,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Botany,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Business,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Chemistry,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Entrepreneurship,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Finance,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Geography,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
History,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Linguistics,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Literature,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Mathematics,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Medical science,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Microbiology,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Mycology,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Myrmecology,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Neuroscience,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Philosophy,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Physics,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Psychology,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Railway studies,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Religious studies,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Research,Educational hobby,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Science and technology studies,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Social studies,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Sociology,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Sports science,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Story writing,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Life science,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Teaching,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Web design,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
engineering,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
jurisprudential,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
publishing,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Wikipedia editing,Educational hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Action figure,Indoor Collection hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Antiquing,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Ant-keeping,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Art collecting,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Book collecting,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Button collecting,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Cartophily (card collecting),Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Coin collecting,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Comic book collecting,Indoor Collection hobby,Prefer not to say,"Child (5-12), Teen (13-18), Young Adult (19-30), Adult (31-50)"
Compact discs,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Crystals,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Deltiology (postcard collecting),Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Die-cast toy,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Digital hoarding,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Dolls,Indoor Collection hobby,Prefer not to say,"Child (5-12), Teen (13-18)"
Element collecting,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Ephemera collecting,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Films,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Fingerprint collecting,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Fusilately (phonecard collecting),Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Knife collecting,Indoor Collection hobby,Prefer not to say,"Young Adult (19-30), Adult (31-50)"
Lapel pins,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Lotology (lottery ticket collecting),Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Movie memorabilia collecting,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Notaphily (banknote collecting),Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Perfume,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Philately,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Phillumeny,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Radio-controlled model collecting,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Rail transport modelling,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Record collecting,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Rock tumbling,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Scutelliphily,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Shoes,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Slot car,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50)"
Sports memorabilia,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Stamp collecting,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Stuffed toy collecting,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Tea bag collecting,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Ticket collecting,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Transit map collecting,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Video game collecting,Indoor Collection hobby,Other,"Child (5-12), Teen (13-18), Young Adult (19-30)"
Vintage cars,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Vintage clothing,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Vinyl records,Indoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Antiquities,Outdoor Collection hobby,Prefer not to say,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
Auto audiophilia,Outdoor Collection hobby,Male,"Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-80)"
