Occasion,Likely Gender,Likely Age Groups,Likely Relationship
Professionals Day,other,"Young Adult (19-30), Adult (31-50), Senior (51-70), Elder (71-100)",Work
Retirement,other,"Young Adult (19-30), Adult (31-50), Senior (51-70), Elder (71-100)","Family, Friendly, Romantic, Education, Household, Work, Social, Other"
Rosh Hashanah,other,"Child (1-12), Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-70), Elder (71-100)","Family, Friendly, Romantic, Work"
St. Patrick's Day,other,"Child (1-12), Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-70), Elder (71-100)","Family, Friendly, Romantic, Education, Household, Work, Social, Other"
Sweetest Day,other,"Child (1-12), Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-70), Elder (71-100)","Romantic, Friendly"
Teacher Appreciation,other,"Young Adult (19-30), Adult (31-50), Senior (51-70), Elder (71-100)",Education
Thank You,other,"Child (1-12), Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-70), Elder (71-100)","Family, Friendly, Romantic, Education, Household, Work, Social, Other"
Thanksgiving,other,"Child (1-12), Teen (13-18), Young Adult (19-30), Adult (31-50), Senior (51-70), Elder (71-100)","Family, Friendly, Romantic, Education, Household, Work, Social, Other"
Thinking of You,other,"Young Adult (19-30), Adult (31-50), Senior (51-70), Elder (71-100)","Family, Friendly, Romantic"
Valentine's Day,other,"Young Adult (19-30), Adult (31-50), Senior (51-70), Elder (71-100)","Friendly, Romantic"
Veterans Day,other,"Young Adult (19-30), Adult (31-50), Senior (51-70), Elder (71-100)","Family, Education, Work, Social, Other"
Wedding,other,"Young Adult (19-30), Adult (31-50), Senior (51-70), Elder (71-100)","Family, Friendly, Romantic, Education, Household, Work, Social, Other"
